id,user,uid,version,changeset,timestamp
24425048,nuklearerWintersturm,75424,2,4683648,2010-05-13T09:09:24Z
24425661,Seandebasti,550560,4,44799399,2016-12-31T03:31:36Z
24426297,dmgroom,1164,2,4050104,2010-03-06T13:22:33Z
24426818,7thgrade,4893896,3,45294160,2017-01-19T10:45:33Z
24427478,7thgrade,4893896,4,45332392,2017-01-20T17:33:09Z
24427800,7thgrade,4893896,3,45266172,2017-01-18T10:01:13Z
49431337,katpatuka,17497,1,3785020,2010-02-03T18:35:00Z
50427404,42429,42429,2,15315462,2013-03-10T14:19:04Z
52068937,samely,2512300,14,39269461,2016-05-12T14:54:26Z
56301905,Maarten Deen,9176,4,19695745,2013-12-29T13:03:18Z
56902278,dannykath,2226712,3,33131286,2015-08-05T15:11:59Z
66443860,katpatuka,17497,4,41469480,2016-08-15T15:10:48Z
71373763,katpatuka,17497,4,22310047,2014-05-13T10:35:56Z
73539808,Wahsaw,2237091,6,48022933,2017-04-22T05:48:45Z
73544736,katpatuka,17497,1,5550463,2010-08-21T09:58:32Z
73546346,katpatuka,17497,1,5550725,2010-08-21T10:35:41Z
73546454,jamesks,2500,3,44419930,2016-12-15T10:42:30Z
73548515,Seandebasti,550560,2,40020811,2016-06-14T16:14:11Z
81944500,jamesks,2500,5,44423089,2016-12-15T13:03:49Z
82171532,katpatuka,17497,1,6094585,2010-10-19T08:43:50Z
82171617,Wahsaw,2237091,2,31783434,2015-06-07T07:01:22Z
82175758,jamesks,2500,4,45395080,2017-01-23T10:11:42Z
82191717,katpatuka,17497,1,6097747,2010-10-19T11:51:22Z
83005384,7thgrade,4893896,16,44779015,2016-12-30T09:08:21Z
83716751,yangfl,304705,3,7262018,2011-02-12T08:18:07Z
85846183,jamesks,2500,11,44419930,2016-12-15T10:42:31Z
85846249,jamesks,2500,10,44401576,2016-12-14T16:29:05Z
85846309,jamesks,2500,7,44399803,2016-12-14T15:04:34Z
88169543,jamesks,2500,2,33911895,2015-09-09T15:09:37Z
95503579,jamesks,2500,3,22580844,2014-05-27T11:57:28Z
98571444,jamesks,2500,2,44399803,2016-12-14T15:04:34Z
98571469,no_nodes_here,4834184,5,47449632,2017-04-04T17:39:21Z
98601506,Maarten Deen,9176,3,19695876,2013-12-29T13:10:50Z
98870829,Maarten Deen,9176,2,19695876,2013-12-29T13:10:43Z
98870853,hanyankai,378714,2,7866319,2011-04-15T02:02:05Z
98870874,yangfl,304705,1,7236125,2011-02-09T13:34:20Z
98870895,Maarten Deen,9176,2,19695876,2013-12-29T13:10:43Z
98874622,jamesks,2500,2,44421081,2016-12-15T11:43:15Z
98880414,jamesks,2500,3,44421081,2016-12-15T11:43:16Z
98880439,Jason Roy,5147743,3,46643834,2017-03-07T07:56:40Z
99160924,yangfl,304705,1,7253543,2011-02-11T10:01:38Z
99160985,yangfl,304705,2,11932152,2012-06-18T01:37:58Z
99161027,Maarten Deen,9176,3,18028621,2013-09-25T14:11:23Z
99161053,FreedSky,1236135,2,33312401,2015-08-13T13:10:50Z
99161074,FreedSky,1236135,2,33312401,2015-08-13T13:10:49Z
99172511,jamesks,2500,2,44471599,2016-12-17T15:04:38Z
99175094,yangfl,304705,1,7253543,2011-02-11T11:46:27Z
99180199,yangfl,304705,2,11932152,2012-06-18T01:37:58Z
99202183,yangfl,304705,1,7256321,2011-02-11T16:14:41Z
99204578,no_nodes_here,4834184,5,47448561,2017-04-04T16:59:02Z
99209349,FreedSky,1236135,4,25243071,2014-09-05T08:19:30Z
99209386,FreedSky,1236135,3,25243071,2014-09-05T08:19:30Z
99209412,yangfl,304705,1,7256321,2011-02-11T17:44:17Z
99213112,gerg1,697073,4,13272805,2012-09-27T14:33:11Z
99217965,yangfl,304705,1,7256321,2011-02-11T18:57:15Z
99230732,yangfl,304705,1,7256321,2011-02-11T19:49:43Z
99286390,jamesks,2500,3,44489365,2016-12-18T12:32:30Z
99289468,jamesks,2500,4,31446166,2015-05-25T14:05:00Z
99289488,calfarome,2511706,6,37858844,2016-03-15T22:51:31Z
99291527,yangfl,304705,2,7263472,2011-02-12T12:37:31Z
99295424,jamesks,2500,2,31446166,2015-05-25T14:05:03Z
99295444,KartaBY,413914,3,47380718,2017-04-02T12:49:37Z
99301331,yangfl,304705,1,7262018,2011-02-12T10:17:12Z
99303158,jamesks,2500,2,31446166,2015-05-25T14:15:38Z
99310500,yangfl,304705,1,7262018,2011-02-12T10:51:40Z
99314479,yangfl,304705,1,7263472,2011-02-12T11:20:09Z
99315459,ediyes,1240849,4,38873971,2016-04-26T02:51:56Z
99322605,Helmchen42,1817244,2,22359672,2014-05-15T19:52:02Z
99322666,jamesks,2500,2,31446166,2015-05-25T14:05:00Z
99821326,yangfl,304705,3,7602556,2011-03-19T09:12:56Z
100458103,FreedSky,1236135,3,25243532,2014-09-05T08:42:23Z
100463947,Shaun Austin,4803525,3,46642622,2017-03-07T06:40:24Z
100468964,FreedSky,1236135,2,25243397,2014-09-05T08:35:11Z
100469013,FreedSky,1236135,2,25243397,2014-09-05T08:35:11Z
100477262,Maarten Deen,9176,2,19695745,2013-12-29T13:03:26Z
101685842,dannykath,2226712,2,37740047,2016-03-10T17:09:59Z
101691268,yangfl,304705,1,7397139,2011-02-26T08:47:08Z
101725995,jamesks,2500,4,46225823,2017-02-19T20:09:13Z
101726031,yangfl,304705,1,7399415,2011-02-26T12:46:14Z
101726052,jamesks,2500,3,44401486,2016-12-14T16:24:53Z
101745957,jamesks,2500,3,44402481,2016-12-14T17:15:42Z
101757555,RichRico,2219338,2,33110840,2015-08-04T19:59:15Z
104406596,Wahsaw,2237091,2,30493779,2015-04-26T07:43:31Z
108735266,jamesks,2500,4,44452121,2016-12-16T16:57:58Z
116940961,aighes,110639,1,8388634,2011-06-09T13:56:06Z
116941034,aighes,110639,1,8388634,2011-06-09T13:56:41Z
133368589,jamesks,2500,6,34680157,2015-10-16T17:45:08Z
133369320,jamesks,2500,4,20862825,2014-03-02T11:57:19Z
133370260,jamesks,2500,3,20862825,2014-03-02T11:57:25Z
135187643,jamesks,2500,6,45398447,2017-01-23T12:44:16Z
140274561,katpatuka,17497,9,44661987,2016-12-25T13:35:40Z
140285474,Seandebasti,550560,10,40024757,2016-06-14T19:24:58Z
140361710,ff5722,3450290,10,47472415,2017-04-05T11:01:01Z
140361901,katpatuka,17497,1,10071442,2011-12-09T09:12:58Z
140408475,jkjkjk,507276,3,19093535,2013-11-24T16:10:42Z
140408660,katpatuka,17497,1,10074393,2011-12-09T16:47:37Z
140417220,Wahsaw,2237091,4,42183464,2016-09-15T18:53:18Z
140417242,katpatuka,17497,1,10074945,2011-12-09T17:57:45Z
142909817,Wahsaw,2237091,2,30524821,2015-04-27T04:30:56Z
142917665,katpatuka,17497,1,10217356,2011-12-27T16:40:00Z
143090153,Jason Roy,5147743,2,46615660,2017-03-06T07:54:38Z
143090190,katpatuka,17497,1,10229256,2011-12-28T19:13:49Z
143090238,katpatuka,17497,1,10229256,2011-12-28T19:14:01Z
143090326,katpatuka,17497,1,10229256,2011-12-28T19:14:22Z
143090387,Prot D,748291,2,23114160,2014-06-24T02:56:14Z
143090423,katpatuka,17497,1,10229256,2011-12-28T19:14:47Z
143183220,ff5722,3450290,4,46195525,2017-02-18T15:55:07Z
149155721,katpatuka,17497,2,15133642,2013-02-23T11:11:31Z
149155875,katpatuka,17497,1,10613076,2012-02-07T15:27:07Z
149156041,katpatuka,17497,1,10613076,2012-02-07T15:27:39Z
149156148,katpatuka,17497,1,10613076,2012-02-07T15:28:00Z
152112054,Oberaffe,56597,4,42252370,2016-09-18T17:32:19Z
152112119,Oberaffe,56597,2,42252370,2016-09-18T17:32:19Z
159153207,katpatuka,17497,1,11274715,2012-04-12T10:34:42Z
159153254,katpatuka,17497,1,11274715,2012-04-12T10:35:03Z
163004288,katpatuka,17497,1,11561688,2012-05-10T18:50:27Z
164700907,greecemapper,23785,3,17037119,2013-07-21T15:13:16Z
164700928,greecemapper,23785,2,17037119,2013-07-21T15:13:17Z
164700948,katpatuka,17497,1,11681213,2012-05-23T14:08:33Z
164700970,katpatuka,17497,1,11681213,2012-05-23T14:08:38Z
164700998,Seandebasti,550560,3,46218220,2017-02-19T15:11:45Z
164704747,katpatuka,17497,1,11681700,2012-05-23T15:17:31Z
167923959,yangfl,304705,2,11932668,2012-06-18T03:43:52Z
167925527,yangfl,304705,1,11932152,2012-06-18T01:37:18Z
167935769,yangfl,304705,1,11932668,2012-06-18T03:43:43Z
167935789,yangfl,304705,1,11932668,2012-06-18T03:43:46Z
167935809,yangfl,304705,1,11932668,2012-06-18T03:43:50Z
167939676,Eva Blue,4803528,3,46644233,2017-03-07T08:16:42Z
167939698,yangfl,304705,1,11932829,2012-06-18T04:39:08Z
167939719,yangfl,304705,1,11932829,2012-06-18T04:39:12Z
167994403,yangfl,304705,1,11937182,2012-06-18T13:43:08Z
167994435,kr12,570551,2,15982732,2013-05-05T10:46:00Z
167994488,yangfl,304705,1,11937182,2012-06-18T13:43:17Z
178851887,15Tr,1987359,3,36624731,2016-01-16T22:54:27Z
178853563,jamesks,2500,2,31446166,2015-05-25T13:58:12Z
178854605,Oberaffe,56597,2,42237773,2016-09-18T00:20:27Z
178859710,15Tr,1987359,3,36624731,2016-01-16T22:24:09Z
183172136,greecemapper,23785,2,17036854,2013-07-21T14:53:01Z
183172163,gerg1,697073,1,13272805,2012-09-27T14:32:29Z
183172183,FreedSky,1236135,2,25243639,2014-09-05T08:47:51Z
183172203,FreedSky,1236135,2,25243639,2014-09-05T08:47:52Z
183172223,gerg1,697073,1,13272805,2012-09-27T14:32:40Z
183172255,gerg1,697073,1,13272805,2012-09-27T14:32:45Z
183196920,jamesks,2500,3,34653099,2015-10-15T12:05:47Z
197412407,zhongguo,386131,1,14346499,2012-12-20T18:10:30Z
198509993,greecemapper,23785,2,17036854,2013-07-21T14:53:01Z
200884771,jamesks,2500,13,44421081,2016-12-15T11:43:18Z
201074093,katpatuka,17497,2,41469480,2016-08-15T15:10:49Z
206437412,katpatuka,17497,2,16335941,2013-05-29T10:32:49Z
206638277,katpatuka,17497,2,15123021,2013-02-22T12:53:09Z
206649540,katpatuka,17497,1,15123021,2013-02-22T12:52:44Z
206679840,katpatuka,17497,1,15125760,2013-02-22T16:45:16Z
206709689,katpatuka,17497,3,34639494,2015-10-14T18:55:52Z
206819241,katpatuka,17497,2,15145926,2013-02-24T10:38:22Z
206819273,katpatuka,17497,1,15133642,2013-02-23T11:11:20Z
206885646,katpatuka,17497,1,15140316,2013-02-23T19:46:26Z
206985495,katpatuka,17497,1,15145926,2013-02-24T10:38:11Z
206987950,katpatuka,17497,1,15146245,2013-02-24T11:02:35Z
207074095,katpatuka,17497,1,15151657,2013-02-24T17:58:30Z
207074125,katpatuka,17497,1,15151657,2013-02-24T17:58:32Z
207074148,15Tr,1987359,2,36624731,2016-01-16T22:52:39Z
207074178,katpatuka,17497,1,15151657,2013-02-24T17:58:39Z
207074234,KartaBY,413914,2,31218034,2015-05-17T06:08:00Z
211701728,Tznischd,141420,2,15597670,2013-04-03T17:30:50Z
215292273,zhongguo,386131,2,20604345,2014-02-16T21:04:48Z
215574346,SaraW,3424135,2,36982123,2016-02-03T17:48:11Z
215576297,15Tr,1987359,3,36624731,2016-01-16T22:52:29Z
217744422,Wahsaw,2237091,9,37469882,2016-02-26T19:37:20Z
220072655,kr12,570551,1,15977726,2013-05-04T22:10:03Z
220105581,kr12,570551,1,15982732,2013-05-05T10:45:49Z
220105601,kr12,570551,1,15982732,2013-05-05T10:45:50Z
220105621,kr12,570551,1,15982732,2013-05-05T10:45:52Z
220105643,DENG LEI,5968694,5,48757662,2017-05-17T09:55:01Z
220273674,FreedSky,1236135,2,25243555,2014-09-05T08:43:29Z
221820666,ediyes,1240849,5,37762667,2016-03-11T15:25:54Z
224491990,wanderingchinaman,1263561,1,16432511,2013-06-05T13:42:44Z
228056643,Tznischd,141420,1,16763335,2013-06-30T11:44:17Z
230614857,greecemapper,23785,2,17029760,2013-07-20T23:09:01Z
230614880,jamesks,2500,5,44489365,2016-12-18T12:32:29Z
230615528,FreedSky,1236135,2,25243196,2014-09-05T08:25:16Z
230615885,greecemapper,23785,2,17029928,2013-07-20T23:39:52Z
230616912,FreedSky,1236135,2,25243814,2014-09-05T08:57:07Z
230616945,greecemapper,23785,1,17029928,2013-07-20T23:39:44Z
230616966,15Tr,1987359,2,36624731,2016-01-16T22:54:30Z
230617108,15Tr,1987359,2,36624731,2016-01-16T22:54:19Z
230718074,greecemapper,23785,1,17036854,2013-07-21T14:52:58Z
230719964,greecemapper,23785,1,17037007,2013-07-21T15:05:24Z
230719984,greecemapper,23785,1,17037007,2013-07-21T15:05:25Z
230720007,samely,2512300,9,38171724,2016-03-30T16:10:46Z
230721060,greecemapper,23785,1,17037119,2013-07-21T15:13:04Z
233034380,jamesks,2500,2,44421081,2016-12-15T11:43:21Z
233034402,Maarten Deen,9176,1,17294662,2013-08-10T18:33:14Z
233366668,jamesks,2500,2,34653099,2015-10-15T12:02:23Z
233366708,jamesks,2500,2,20862825,2014-03-02T11:57:13Z
233366754,katpatuka,17497,1,17329371,2013-08-13T11:03:34Z
233376503,katpatuka,17497,1,17330199,2013-08-13T12:11:57Z
233376578,katpatuka,17497,1,17330199,2013-08-13T12:12:01Z
233376669,katpatuka,17497,1,17330199,2013-08-13T12:12:04Z
241939311,jamesks,2500,2,34653099,2015-10-15T12:02:22Z
241939331,katpatuka,17497,1,18334569,2013-10-13T15:41:36Z
241939392,katpatuka,17497,1,18334569,2013-10-13T15:41:43Z
248050426,West Lake,3275816,2,37106745,2016-02-09T17:42:01Z
249209902,Wahsaw,2237091,3,30492364,2015-04-26T06:36:03Z
249209924,greecemapper,23785,1,19196478,2013-11-30T15:52:55Z
249209958,Wahsaw,2237091,3,30492364,2015-04-26T06:36:01Z
249210668,jamesks,2500,4,31885058,2015-06-10T23:28:07Z
249581542,15Tr,1987359,2,36624731,2016-01-16T22:36:52Z
252235568,jamesks,2500,2,44446514,2016-12-16T12:41:00Z
252407579,DougPeterson,1469704,4,48177912,2017-04-26T23:34:36Z
254140854,Maarten Deen,9176,1,19695745,2013-12-29T13:03:02Z
254140874,katpatuka,17497,2,22309547,2014-05-13T10:00:20Z
256857030,jamesks,2500,1,20035622,2014-01-16T15:55:20Z
256997223,katpatuka,17497,4,44665518,2016-12-25T17:47:47Z
256998499,katpatuka,17497,2,44661106,2016-12-25T12:43:33Z
259056282,katpatuka,17497,2,20284473,2014-01-30T14:28:53Z
259057364,Wahsaw,2237091,4,31707823,2015-06-04T05:19:39Z
259061268,katpatuka,17497,2,20284473,2014-01-30T14:29:10Z
260499491,hanchao,499500,2,32734822,2015-07-19T15:18:56Z
260504090,Wahsaw,2237091,4,48021706,2017-04-22T04:04:05Z
260513019,katpatuka,17497,1,20437178,2014-02-07T20:31:09Z
260513039,katpatuka,17497,1,20437178,2014-02-07T20:31:12Z
260513084,WouterW,231254,2,29077442,2015-02-24T20:43:49Z
260513118,katpatuka,17497,1,20437178,2014-02-07T20:31:22Z
260513146,katpatuka,17497,1,20437178,2014-02-07T20:31:24Z
260513176,Seandebasti,550560,3,46223330,2017-02-19T18:29:02Z
261944533,samely,2512300,2,33016551,2015-07-31T19:27:55Z
261948117,jamesks,2500,2,44423089,2016-12-15T13:03:52Z
261948137,zhongguo,386131,1,20604859,2014-02-16T21:38:58Z
262106724,zhongguo,386131,1,20622613,2014-02-17T19:53:19Z
262106744,zhongguo,386131,1,20622613,2014-02-17T19:53:20Z
262106766,zhongguo,386131,2,20623628,2014-02-17T20:35:42Z
262106786,samely,2512300,2,39044044,2016-05-02T16:25:29Z
262110066,zhongguo,386131,1,20623085,2014-02-17T20:12:35Z
262115027,zhongguo,386131,1,20623628,2014-02-17T20:35:37Z
262115050,zhongguo,386131,1,20623628,2014-02-17T20:35:39Z
264092867,jamesks,2500,6,44403836,2016-12-14T18:25:52Z
278009916,jamesks,2500,2,44399803,2016-12-14T15:04:40Z
279140767,aighes,110639,1,22107477,2014-05-03T15:35:03Z
279207846,aighes,110639,1,22113301,2014-05-03T20:04:24Z
279207900,aighes,110639,1,22113301,2014-05-03T20:04:31Z
281519281,katpatuka,17497,1,22309186,2014-05-13T09:35:43Z
281528756,katpatuka,17497,1,22309547,2014-05-13T10:00:01Z
281528820,katpatuka,17497,1,22309547,2014-05-13T10:00:03Z
281528849,15Tr,1987359,2,36624731,2016-01-16T22:54:20Z
281528877,15Tr,1987359,2,36624731,2016-01-16T22:54:29Z
281539605,katpatuka,17497,1,22310047,2014-05-13T10:35:50Z
281539625,katpatuka,17497,1,22310047,2014-05-13T10:35:53Z
282015725,Helmchen42,1817244,1,22348467,2014-05-15T09:08:04Z
282015754,katpatuka,17497,3,41469480,2016-08-15T15:10:45Z
284604202,rheins,2996489,2,32603821,2015-07-13T14:08:16Z
284605480,jamesks,2500,1,22580844,2014-05-27T12:15:18Z
289490120,hanchao,499500,2,34544835,2015-10-10T08:14:05Z
289490140,Prot D,748291,1,23114160,2014-06-24T02:56:08Z
289490160,Prot D,748291,1,23114160,2014-06-24T02:56:09Z
289490588,Prot D,748291,1,23114251,2014-06-24T03:21:57Z
289677209,Prot D,748291,1,23135397,2014-06-25T05:03:54Z
289888526,Prot D,748291,1,23181585,2014-06-26T13:02:40Z
293396810,Wahsaw,2237091,2,42209573,2016-09-16T18:15:44Z
299064475,katpatuka,17497,1,24889836,2014-08-20T16:47:47Z
299064500,katpatuka,17497,1,24889836,2014-08-20T16:47:50Z
301556409,greecemapper,23785,1,25189483,2014-09-02T19:15:15Z
301556429,greecemapper,23785,1,25189483,2014-09-02T19:15:16Z
301556449,greecemapper,23785,1,25189483,2014-09-02T19:15:18Z
301556470,greecemapper,23785,1,25189483,2014-09-02T19:15:19Z
301560930,Wahsaw,2237091,3,48021706,2017-04-22T04:04:05Z
301561037,Wahsaw,2237091,3,48021706,2017-04-22T04:04:05Z
301561062,greecemapper,23785,1,25190175,2014-09-02T19:40:21Z
301561083,15Tr,1987359,2,36624731,2016-01-16T22:57:37Z
301801357,FreedSky,1236135,3,33957817,2015-09-11T13:09:48Z
301892608,FreedSky,1236135,1,25243937,2014-09-05T09:03:27Z
305498941,自由分享,3264783,3,40175434,2016-06-21T08:55:14Z
306164737,greecemapper,23785,2,31387217,2015-05-23T00:22:11Z
306366275,Math1985,39688,1,25872335,2014-10-05T10:13:06Z
306384370,jamesks,2500,3,34652953,2015-10-15T11:54:52Z
307807128,7thgrade,4893896,3,45332392,2017-01-20T17:33:12Z
312189968,hanchao,499500,1,26706062,2014-11-11T09:21:58Z
312539800,hanchao,499500,1,26749469,2014-11-13T06:00:31Z
315731440,15Tr,1987359,3,36624731,2016-01-16T22:52:28Z
